year,month,day,hour,minute,second,freq_MHz,utc_hr
2017,8,20,14,51,55.6,10000000.0029,14.86544444
2017,8,20,14,52,7.5,10000000.0029,14.86875
2017,8,20,14,52,19.4,10000000.0027,14.87205556
2017,8,20,14,52,31.3,10000000.0029,14.87536111
2017,8,20,14,52,43.2,10000000.0045,14.87866667
2017,8,20,14,52,55.1,10000000.0030,14.88197222
2017,8,20,14,53,7,10000000.0030,14.88527778
2017,8,20,14,53,18.8,10000000.0016,14.88855556
2017,8,20,14,53,30.7,10000000.0625,14.89186111
2017,8,20,14,53,42.6,10000000.0515,14.89516667
2017,8,20,14,53,54.5,10000000.0537,14.89847222
2017,8,20,14,54,6.4,10000000.0594,14.90177778
2017,8,20,14,54,18.3,10000000.0508,14.90508333
2017,8,20,14,54,30.1,9999999.9924,14.90836111
2017,8,20,14,54,42,10000000.0567,14.91166667
2017,8,20,14,54,53.9,10000000.0519,14.91497222
2017,8,20,14,55,5.8,10000000.0475,14.91827778
2017,8,20,14,55,17.7,10000000.0411,14.92158333
2017,8,20,14,55,29.6,10000000.0400,14.92488889
2017,8,20,14,55,41.5,10000000.0058,14.92819444
2017,8,20,14,55,53.4,9999999.9998,14.9315
2017,8,20,14,56,5.3,10000000.0437,14.93480556
2017,8,20,14,56,17.1,10000000.0145,14.93808333
2017,8,20,14,56,29,10000000.0072,14.94138889
2017,8,20,14,56,40.9,9999999.9984,14.94469444
2017,8,20,14,56,52.8,9999999.9950,14.948
2017,8,20,14,57,4.7,10000000.0002,14.95130556
2017,8,20,14,57,16.6,9999999.9999,14.95461111
2017,8,20,14,57,28.5,10000000.0012,14.95791667
2017,8,20,14,57,40.4,10000000.0031,14.96122222
2017,8,20,14,57,52.3,10000000.0767,14.96452778
2017,8,20,14,58,4.1,10000000.0769,14.96780556
2017,8,20,14,58,16,10000000.0036,14.97111111
2017,8,20,14,58,27.9,10000000.0041,14.97441667
2017,8,20,14,58,39.8,10000000.0052,14.97772222
2017,8,20,14,58,51.7,10000000.0057,14.98102778
2017,8,20,14,59,3.6,10000000.0062,14.98433333
2017,8,20,14,59,15.5,10000000.0063,14.98763889
2017,8,20,14,59,27.4,10000000.0057,14.99094444
2017,8,20,14,59,39.3,10000000.0062,14.99425
2017,8,20,14,59,51.1,10000000.0042,14.99752778
2017,8,20,15,0,3,10000000.0058,15.00083333
2017,8,20,15,0,14.9,10000000.0027,15.00413889
2017,8,20,15,0,26.8,10000000.0053,15.00744444
2017,8,20,15,0,38.7,10000000.0022,15.01075
2017,8,20,15,0,50.6,9999999.9983,15.01405556
2017,8,20,15,1,2.5,10000000.0025,15.01736111
2017,8,20,15,1,14.4,10000000.0051,15.02066667
2017,8,20,15,1,26.3,10000000.0057,15.02397222
2017,8,20,15,1,38.1,10000000.0919,15.02725
2017,8,20,15,1,50,10000000.0049,15.03055556
2017,8,20,15,2,1.9,10000000.0184,15.03386111
2017,8,20,15,2,13.8,10000000.0199,15.03716667
2017,8,20,15,2,25.7,10000000.0053,15.04047222
2017,8,20,15,2,37.6,9999999.9883,15.04377778
2017,8,20,15,2,49.4,10000000.0048,15.04705556
2017,8,20,15,3,1.3,9999999.9936,15.05036111
2017,8,20,15,3,13.2,9999999.9952,15.05366667
2017,8,20,15,3,25.1,9999999.9983,15.05697222
2017,8,20,15,3,37,9999999.9945,15.06027778
2017,8,20,15,3,48.9,9999999.9997,15.06358333
2017,8,20,15,4,0.8,9999999.9995,15.06688889
2017,8,20,15,4,12.7,10000000.0003,15.07019444
2017,8,20,15,4,24.6,9999999.9981,15.0735
2017,8,20,15,4,36.5,9999999.9969,15.07680556
2017,8,20,15,4,48.4,9999999.9989,15.08011111
2017,8,20,15,5,0.2,10000000.0005,15.08338889
2017,8,20,15,5,12.1,10000000.1505,15.08669444
2017,8,20,15,5,24,10000000.1345,15.09
2017,8,20,15,5,35.9,10000000.1125,15.09330556
2017,8,20,15,5,47.8,10000000.0058,15.09661111
2017,8,20,15,5,59.7,10000000.0107,15.09991667
2017,8,20,15,6,11.6,10000000.0100,15.10322222
2017,8,20,15,6,23.5,10000000.0100,15.10652778
2017,8,20,15,6,35.4,10000000.0103,15.10983333
2017,8,20,15,6,47.2,10000000.0109,15.11311111
2017,8,20,15,6,59.1,10000000.0122,15.11641667
2017,8,20,15,7,11,10000000.0136,15.11972222
2017,8,20,15,7,22.9,10000000.0126,15.12302778
2017,8,20,15,7,34.8,10000000.0127,15.12633333
2017,8,20,15,7,46.7,10000000.0110,15.12963889
2017,8,20,15,7,58.6,10000000.0091,15.13294444
2017,8,20,15,8,10.5,10000000.0065,15.13625
2017,8,20,15,8,22.4,10000000.0061,15.13955556
2017,8,20,15,8,34.2,10000000.0066,15.14283333
2017,8,20,15,8,46.1,10000000.0071,15.14613889
2017,8,20,15,8,58,10000000.0058,15.14944444
2017,8,20,15,9,9.9,9999999.9984,15.15275
2017,8,20,15,9,21.8,10000000.1124,15.15605556
2017,8,20,15,9,33.7,9999999.9964,15.15936111
2017,8,20,15,9,45.6,10000000.0011,15.16266667
2017,8,20,15,9,57.5,10000000.0012,15.16597222
2017,8,20,15,10,9.3,10000000.1354,15.16925
2017,8,20,15,10,21.2,10000000.1068,15.17255556
2017,8,20,15,10,33.1,9999999.9919,15.17586111
2017,8,20,15,10,45,9999999.9958,15.17916667
2017,8,20,15,10,56.9,9999999.9981,15.18247222
